0 1 0 0 1 2
0.00026   0.999998 0.00102102          0          1          2
0.000261   0.999998 0.00102494          0          1          2
0.000262   0.999998 0.00102887          0          1          2
0.000263  0.999998 0.0010328         0         1         2
0.000264   0.999998 0.00103672          0          1          2
0.000265   0.999998 0.00104065          0          1          2
0.000266   0.999998 0.00104458          0          1          2
0.000267  0.999998 0.0010485         0         1         2
0.000268   0.999998 0.00105243          0          1          2
0.000269   0.999998 0.00105636          0          1          2
0.00027   0.999998 0.00106029          0          1          2
0.000271   0.999998 0.00106421          0          1          2
0.000272   0.999998 0.00106814          0          1          2
0.000273   0.999998 0.00107207          0          1          2
0.000274   0.999998 0.00107599          0          1          2
0.000275   0.999998 0.00107992          0          1          2
0.000276   0.999998 0.00108385          0          1          2
0.000277   0.999998 0.00108777          0          1          2
0.000278  0.999998 0.0010917         0         1         2
0.000279   0.999998 0.00109563          0          1          2
0.00028   0.999998 0.00109956          0          1          2
0.000281   0.999998 0.00110348          0          1          2
0.000282   0.999998 0.00110741          0          1          2
0.000283   0.999998 0.00111134          0          1          2
0.000284   0.999998 0.00111526          0          1          2
0.000285   0.999997 0.00111919          0          1          2
0.000286   0.999997 0.00112312          0          1          2
0.000287   0.999997 0.00112704          0          1          2
0.000288   0.999997 0.00113097          0          1          2
0.000289  0.999997 0.0011349         0         1         2
0.00029   0.999997 0.00113882          0          1          2
0.000291   0.999997 0.00114275          0          1          2
0.000292   0.999997 0.00114668          0          1          2
0.000293   0.999997 0.00115061          0          1          2
0.000294   0.999997 0.00115453          0          1          2
0.000295   0.999997 0.00115846          0          1          2
0.000296   0.999997 0.00116239          0          1          2
0.000297   0.999997 0.00116631          0          1          2
0.000298   0.999997 0.00117024          0          1          2
0.000299   0.999997 0.00117417          0          1          2
0.0003   0.999997 0.00117809          0          1          2
0.000301   0.999997 0.00118202          0          1          2
0.000302   0.999997 0.00118595          0          1          2
0.000303   0.999997 0.00118988          0          1          2
0.000304  0.999997 0.0011938         0         1         2
0.000305   0.999997 0.00119773          0          1          2
0.000306   0.999997 0.00120166          0          1          2
0.000307   0.999997 0.00120558          0          1          2
0.000308   0.999997 0.00120951          0          1          2
0.000309   0.999997 0.00121344          0          1          2
0.00031   0.999997 0.00121736          0          1          2
0.000311   0.999997 0.00122129          0          1          2
0.000312   0.999997 0.00122522          0          1          2
0.000313   0.999997 0.00122914          0          1          2
0.000314   0.999997 0.00123307          0          1          2
0.000315 0.999997 0.001237        0        1        2
0.000316   0.999997 0.00124093          0          1          2
0.000317   0.999997 0.00124485          0          1          2
0.000318   0.999997 0.00124878          0          1          2
0.000319   0.999997 0.00125271          0          1          2
0.00032   0.999997 0.00125663          0          1          2
0.000321   0.999997 0.00126056          0          1          2
0.000322   0.999997 0.00126449          0          1          2
0.000323   0.999997 0.00126841          0          1          2
0.000324   0.999997 0.00127234          0          1          2
0.000325   0.999997 0.00127627          0          1          2
0.000326  0.999997 0.0012802         0         1         2
0.000327   0.999997 0.00128412          0          1          2
0.000328   0.999997 0.00128805          0          1          2
0.000329   0.999997 0.00129198          0          1          2
0.00033  0.999997 0.0012959         0         1         2
0.000331   0.999997 0.00129983          0          1          2
0.000332   0.999997 0.00130376          0          1          2
0.000333   0.999997 0.00130768          0          1          2
0.000334   0.999997 0.00131161          0          1          2
0.000335   0.999997 0.00131554          0          1          2
0.000336   0.999997 0.00131946          0          1          2
0.000337   0.999996 0.00132339          0          1          2
0.000338   0.999996 0.00132732          0          1          2
0.000339   0.999996 0.00133125          0          1          2
0.00034   0.999996 0.00133517          0          1          2
0.000341  0.999996 0.0013391         0         1         2
0.000342   0.999996 0.00134303          0          1          2
0.000343   0.999996 0.00134695          0          1          2
0.000344   0.999996 0.00135088          0          1          2
0.000345   0.999996 0.00135481          0          1          2
0.000346   0.999996 0.00135873          0          1          2
0.000347   0.999996 0.00136266          0          1          2
0.000348   0.999996 0.00136659          0          1          2
0.000349   0.999996 0.00137052          0          1          2
0.00035   0.999996 0.00137444          0          1          2
0.000351   0.999996 0.00137837          0          1          2
0.000352  0.999996 0.0013823         0         1         2
0.000353   0.999996 0.00138622          0          1          2
0.000354   0.999996 0.00139015          0          1          2
0.000355   0.999996 0.00139408          0          1          2
0.000356 0.999996 0.001398        0        1        2
0.000357   0.999996 0.00140193          0          1          2
0.000358   0.999996 0.00140586          0          1          2
0.000359   0.999996 0.00140978          0          1          2
0.00036   0.999996 0.00141371          0          1          2
0.000361   0.999996 0.00141764          0          1          2
0.000362   0.999996 0.00142157          0          1          2
0.000363   0.999996 0.00142549          0          1          2
0.000364   0.999996 0.00142942          0          1          2
0.000365   0.999996 0.00143335          0          1          2
0.000366   0.999996 0.00143727          0          1          2
0.000367  0.999996 0.0014412         0         1         2
0.000368   0.999996 0.00144513          0          1          2
0.000369   0.999996 0.00144905          0          1          2
0.00037   0.999996 0.00145298          0          1          2
0.000371   0.999996 0.00145691          0          1          2
0.000372   0.999996 0.00146084          0          1          2
0.000373   0.999996 0.00146476          0          1          2
0.000374   0.999996 0.00146869          0          1          2
0.000375   0.999996 0.00147262          0          1          2
0.000376   0.999996 0.00147654          0          1          2
0.000377   0.999996 0.00148047          0          1          2
0.000378  0.999996 0.0014844         0         1         2
0.000379   0.999996 0.00148832          0          1          2
0.00038   0.999996 0.00149225          0          1          2
0.000381   0.999996 0.00149618          0          1          2
0.000382  0.999995 0.0015001         0         1         2
0.000383   0.999995 0.00150403          0          1          2
0.000384   0.999995 0.00150796          0          1          2
0.000385   0.999995 0.00151189          0          1          2
0.000386   0.999995 0.00151581          0          1          2
0.000387   0.999995 0.00151974          0          1          2
0.000388   0.999995 0.00152367          0          1          2
0.000389   0.999995 0.00152759          0          1          2
0.00039   0.999995 0.00153152          0          1          2
0.000391   0.999995 0.00153545          0          1          2
0.000392   0.999995 0.00153937          0          1          2
0.000393  0.999995 0.0015433         0         1         2
0.000394   0.999995 0.00154723          0          1          2
0.000395   0.999995 0.00155115          0          1          2
0.000396   0.999995 0.00155508          0          1          2
0.000397   0.999995 0.00155901          0          1          2
0.000398   0.999995 0.00156294          0          1          2
0.000399   0.999995 0.00156686          0          1          2
0.0004   0.999995 0.00157079          0          1          2
0.000401   0.999995 0.00157472          0          1          2
0.000402   0.999995 0.00157864          0          1          2
0.000403   0.999995 0.00158257          0          1          2
0.000404  0.999995 0.0015865         0         1         2
0.000405   0.999995 0.00159042          0          1          2
0.000406   0.999995 0.00159435          0          1          2
0.000407   0.999995 0.00159828          0          1          2
0.000408   0.999995 0.00160221          0          1          2
0.000409   0.999995 0.00160613          0          1          2
0.00041   0.999995 0.00161006          0          1          2
0.000411   0.999995 0.00161399          0          1          2
0.000412   0.999995 0.00161791          0          1          2
0.000413   0.999995 0.00162184          0          1          2
0.000414   0.999995 0.00162577          0          1          2
0.000415   0.999995 0.00162969          0          1          2
0.000416   0.999995 0.00163362          0          1          2
0.000417   0.999995 0.00163755          0          1          2
0.000418   0.999995 0.00164147          0          1          2
0.000419  0.999995 0.0016454         0         1         2
0.00042   0.999995 0.00164933          0          1          2
0.000421   0.999995 0.00165326          0          1          2
0.000422   0.999995 0.00165718          0          1          2
0.000423   0.999994 0.00166111          0          1          2
0.000424   0.999994 0.00166504          0          1          2
0.000425   0.999994 0.00166896          0          1          2
0.000426   0.999994 0.00167289          0          1          2
0.000427   0.999994 0.00167682          0          1          2
0.000428   0.999994 0.00168074          0          1          2
0.000429   0.999994 0.00168467          0          1          2
0.00043  0.999994 0.0016886         0         1         2
0.000431   0.999994 0.00169252          0          1          2
0.000432   0.999994 0.00169645          0          1          2
0.000433   0.999994 0.00170038          0          1          2
0.000434   0.999994 0.00170431          0          1          2
0.000435   0.999994 0.00170823          0          1          2
0.000436   0.999994 0.00171216          0          1          2
0.000437   0.999994 0.00171609          0          1          2
0.000438   0.999994 0.00172001          0          1          2
0.000439   0.999994 0.00172394          0          1          2
0.00044   0.999994 0.00172787          0          1          2
0.000441   0.999994 0.00173179          0          1          2
0.000442   0.999994 0.00173572          0          1          2
0.000443   0.999994 0.00173965          0          1          2
0.000444   0.999994 0.00174357          0          1          2
0.000445  0.999994 0.0017475         0         1         2
0.000446   0.999994 0.00175143          0          1          2
0.000447   0.999994 0.00175536          0          1          2
0.000448   0.999994 0.00175928          0          1          2
0.000449   0.999994 0.00176321          0          1          2
0.00045   0.999994 0.00176714          0          1          2
0.000451   0.999994 0.00177106          0          1          2
0.000452   0.999994 0.00177499          0          1          2
0.000453   0.999994 0.00177892          0          1          2
0.000454   0.999994 0.00178284          0          1          2
0.000455   0.999994 0.00178677          0          1          2
0.000456  0.999994 0.0017907         0         1         2
0.000457   0.999994 0.00179462          0          1          2
0.000458   0.999994 0.00179855          0          1          2
0.000459   0.999994 0.00180248          0          1          2
0.00046   0.999993 0.00180641          0          1          2
